artichoke_would_throw,artichoke_expected_rancidness,artichoke_desired_rancidness,avocado_would_throw,avocado_expected_rancidness,avocado_desired_rancidness,banana_would_throw,banana_expected_rancidness,banana_desired_rancidness,brussels_sprout_would_throw,brussels_sprout_expected_rancidness,brussels_sprout_desired_rancidness,cantaloupe_would_throw,cantaloupe_expected_rancidness,cantaloupe_desired_rancidness,cauliflower_would_throw,cauliflower_expected_rancidness,cauliflower_desired_rancidness,chard_would_throw,chard_expected_rancidness,chard_desired_rancidness,crimini_mushroom_would_throw,crimini_mushroom_expected_rancidness,crimini_mushroom_desired_rancidness,golden_beet_would_throw,golden_beet_expected_rancidness,golden_beet_desired_rancidness,jalapeno_would_throw,jalapeno_expected_rancidness,jalapeno_desired_rancidness,kiwi_would_throw,kiwi_expected_rancidness,kiwi_desired_rancidness,korean_melon_would_throw,korean_melon_expected_rancidness,korean_melon_desired_rancidness,lime_would_throw,lime_expected_rancidness,lime_desired_rancidness,pear_would_throw,pear_expected_rancidness,pear_desired_rancidness,plucot_would_throw,plucot_expected_rancidness,plucot_desired_rancidness,red_grapefruit_would_throw,red_grapefruit_expected_rancidness,red_grapefruit_desired_rancidness,red_onion_would_throw,red_onion_expected_rancidness,red_onion_desired_rancidness,straightneck_squash_would_throw,straightneck_squash_expected_rancidness,straightneck_squash_desired_rancidness,strawberry_would_throw,strawberry_expected_rancidness,strawberry_desired_rancidness,tomatillo_would_throw,tomatillo_expected_rancidness,tomatillo_desired_rancidness
false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,true,1.0,1.0,false,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,false,1.0,1.0,true,1.0,1.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,true,1.0,1.0,false,1.0,1.0,true,1.0,1.0,true,1.0,1.0
true,4.0,4.0,true,5.0,5.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,true,5.0,5.0,false,1.0,1.0,true,5.0,5.0,false,1.0,1.0,true,5.0,5.0,false,1.0,1.0,false,1.0,1.0,true,3.0,3.0,true,4.0,4.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,true,5.0,5.0,true,4.0,4.0
true,2.0,1.0,false,5.0,1.0,true,4.0,5.0,false,1.0,1.0,true,5.0,5.0,true,2.0,1.0,false,2.0,2.0,false,2.0,5.0,true,2.0,2.0,false,4.0,3.0,false,5.0,1.0,true,2.0,1.0,true,1.0,1.0,false,5.0,5.0,false,5.0,1.0,true,2.0,2.0,true,3.0,2.0,true,1.0,1.0,false,5.0,2.0,true,4.0,4.0
false,3.0,5.0,true,5.0,5.0,false,5.0,3.0,false,3.0,5.0,true,4.0,4.0,false,2.0,5.0,false,5.0,5.0,false,4.0,2.0,true,5.0,5.0,true,5.0,5.0,false,5.0,3.0,true,4.0,3.0,true,5.0,5.0,false,4.0,4.0,true,4.0,3.0,true,3.0,3.0,true,5.0,5.0,false,4.0,3.0,false,5.0,3.0,true,5.0,5.0
false,2.0,4.0,true,4.0,5.0,true,5.0,5.0,false,3.0,4.0,false,2.0,3.0,false,2.0,4.0,false,3.0,3.0,false,1.0,2.0,true,2.0,4.0,true,1.0,4.0,true,4.0,4.0,false,2.0,4.0,false,1.0,2.0,true,5.0,5.0,true,5.0,5.0,false,3.0,3.0,false,1.0,1.0,true,3.0,4.0,true,4.0,5.0,false,,4.0
false,3.0,4.0,false,5.0,3.0,true,5.0,5.0,false,2.0,3.0,false,4.0,4.0,false,3.0,3.0,false,2.0,2.0,false,4.0,4.0,false,4.0,4.0,false,2.0,3.0,true,5.0,5.0,false,3.0,3.0,false,3.0,3.0,true,4.0,4.0,false,3.0,3.0,false,3.0,3.0,false,2.0,2.0,false,3.0,3.0,false,3.0,3.0,false,3.0,3.0
true,2.0,1.0,true,4.0,1.0,true,4.0,1.0,true,2.0,1.0,true,1.0,1.0,true,3.0,2.0,true,2.0,4.0,false,2.0,,true,1.0,2.0,false,2.0,5.0,true,2.0,1.0,true,3.0,1.0,true,3.0,2.0,true,5.0,2.0,true,4.0,3.0,true,5.0,1.0,true,3.0,1.0,true,1.0,5.0,false,2.0,1.0,true,1.0,4.0
true,2.0,4.0,false,2.0,5.0,false,5.0,5.0,true,3.0,2.0,true,1.0,1.0,false,2.0,5.0,false,3.0,5.0,false,5.0,5.0,true,2.0,1.0,true,3.0,3.0,true,2.0,2.0,true,1.0,1.0,false,2.0,1.0,true,5.0,2.0,false,4.0,3.0,false,2.0,3.0,true,4.0,5.0,true,4.0,2.0,false,5.0,5.0,false,3.0,5.0
true,5.0,4.0,false,2.0,2.0,true,5.0,5.0,false,3.0,3.0,true,5.0,5.0,false,1.0,1.0,false,1.0,1.0,false,1.0,1.0,true,5.0,5.0,true,5.0,5.0,true,5.0,4.0,true,5.0,5.0,false,1.0,1.0,false,1.0,1.0,true,5.0,5.0,true,5.0,5.0,true,5.0,4.0,true,5.0,5.0,true,3.0,3.0,false,1.0,1.0
true,5.0,5.0,false,1.0,1.0,false,1.0,1.0,true,1.0,1.0,false,3.0,3.0,true,,4.0,false,,,false,,1.0,false,,1.0,true,,2.0,false,,2.0,false,,1.0,false,,3.0,true,,3.0,true,,5.0,false,,2.0,false,,2.0,false,,2.0,true,5.0,5.0,true,3.0,3.0
true,1.0,1.0,true,5.0,5.0,true,4.0,4.0,true,1.0,1.0,false,1.0,1.0,true,1.0,1.0,false,1.0,1.0,true,4.0,4.0,true,2.0,2.0,true,2.0,1.0,true,4.0,4.0,true,2.0,2.0,true,5.0,5.0,true,3.0,3.0,true,3.0,3.0,false,1.0,1.0,true,5.0,5.0,false,1.0,1.0,true,4.0,4.0,false,1.0,1.0
true,4.0,5.0,true,5.0,1.0,true,3.0,5.0,false,3.0,5.0,true,2.0,1.0,true,3.0,5.0,false,3.0,5.0,false,2.0,1.0,true,2.0,1.0,true,2.0,4.0,true,4.0,5.0,true,4.0,3.0,true,2.0,3.0,true,4.0,3.0,true,5.0,5.0,true,4.0,3.0,true,3.0,4.0,true,4.0,3.0,false,4.0,1.0,true,4.0,4.0
true,3.0,5.0,true,4.0,5.0,true,3.0,5.0,true,2.0,5.0,true,5.0,5.0,true,3.0,5.0,false,4.0,5.0,true,2.0,5.0,true,2.0,5.0,true,4.0,5.0,true,5.0,5.0,true,4.0,5.0,true,2.0,5.0,true,4.0,5.0,true,4.0,5.0,true,3.0,5.0,true,1.0,5.0,true,2.0,5.0,true,5.0,5.0,true,5.0,5.0
false,3.0,1.0,false,5.0,1.0,true,1.0,1.0,false,2.0,1.0,true,1.0,1.0,false,2.0,1.0,false,3.0,1.0,false,1.0,1.0,false,2.0,1.0,false,3.0,1.0,false,2.0,1.0,false,3.0,1.0,false,3.0,1.0,false,3.0,1.0,false,2.0,1.0,false,2.0,1.0,false,2.0,1.0,false,4.0,1.0,false,2.0,1.0,false,5.0,1.0
true,3.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,2.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,1.0,1.0,true,2.0,1.0,true,1.0,1.0,true,2.0,1.0,true,2.0,1.0,true,1.0,1.0,true,2.0,1.0
true,4.0,2.0,true,5.0,5.0,false,,3.0,false,3.0,3.0,true,2.0,3.0,true,4.0,4.0,true,2.0,2.0,false,5.0,3.0,true,4.0,2.0,true,2.0,1.0,true,4.0,2.0,true,4.0,2.0,true,2.0,1.0,true,4.0,2.0,true,4.0,2.0,true,3.0,1.0,true,4.0,1.0,false,3.0,3.0,false,3.0,3.0,false,3.0,3.0
true,5.0,4.0,true,3.0,4.0,true,5.0,4.0,true,3.0,4.0,false,2.0,3.0,true,3.0,4.0,true,3.0,4.0,true,5.0,4.0,true,4.0,4.0,true,5.0,4.0,true,3.0,4.0,false,2.0,3.0,true,3.0,4.0,true,4.0,4.0,true,4.0,4.0,false,2.0,3.0,true,2.0,3.0,true,2.0,4.0,true,5.0,4.0,true,3.0,4.0
true,3.0,1.0,true,5.0,4.0,false,4.0,2.0,false,4.0,1.0,true,2.0,1.0,false,3.0,5.0,false,3.0,3.0,true,2.0,1.0,true,3.0,1.0,false,5.0,1.0,false,4.0,5.0,true,3.0,4.0,true,2.0,1.0,false,4.0,4.0,false,3.0,1.0,true,2.0,1.0,true,2.0,1.0,true,4.0,1.0,false,5.0,5.0,false,2.0,5.0
false,2.0,1.0,true,2.0,1.0,true,2.0,3.0,false,1.0,1.0,false,4.0,1.0,true,1.0,4.0,true,1.0,1.0,true,3.0,5.0,false,4.0,1.0,true,1.0,5.0,true,2.0,5.0,false,2.0,1.0,true,3.0,5.0,false,4.0,3.0,true,3.0,5.0,true,1.0,5.0,true,4.0,5.0,true,4.0,5.0,true,2.0,5.0,true,3.0,5.0
true,3.0,1.0,false,,4.0,false,,3.0,true,3.0,1.0,true,4.0,1.0,true,3.0,2.0,false,4.0,1.0,false,2.0,1.0,true,4.0,2.0,true,4.0,,false,4.0,2.0,true,4.0,1.0,true,3.0,,true,5.0,3.0,false,5.0,2.0,true,4.0,2.0,true,3.0,,true,4.0,1.0,false,4.0,2.0,false,5.0,2.0
false,4.0,5.0,true,4.0,5.0,false,4.0,5.0,true,4.0,5.0,true,5.0,5.0,false,3.0,5.0,false,3.0,4.0,false,2.0,5.0,true,2.0,5.0,false,3.0,5.0,true,4.0,5.0,true,4.0,5.0,false,2.0,5.0,true,3.0,5.0,true,2.0,5.0,true,2.0,5.0,true,1.0,5.0,true,2.0,5.0,false,4.0,5.0,true,3.0,5.0
true,2.0,2.0,true,4.0,4.0,true,5.0,5.0,true,1.0,1.0,false,5.0,5.0,false,3.0,3.0,false,2.0,2.0,false,3.0,3.0,true,2.0,2.0,true,4.0,4.0,true,5.0,5.0,false,5.0,5.0,true,4.0,4.0,true,5.0,5.0,true,4.0,4.0,true,5.0,5.0,true,3.0,3.0,false,3.0,3.0,false,5.0,5.0,false,4.0,4.0
true,4.0,5.0,true,5.0,5.0,false,2.0,5.0,false,3.0,1.0,true,3.0,5.0,false,2.0,1.0,false,4.0,4.0,true,3.0,2.0,true,4.0,5.0,true,2.0,2.0,true,5.0,5.0,false,2.0,1.0,true,3.0,4.0,false,3.0,5.0,false,2.0,2.0,true,4.0,5.0,false,2.0,2.0,true,3.0,3.0,true,4.0,5.0,true,3.0,4.0
false,4.0,5.0,true,3.0,,true,4.0,5.0,true,2.0,3.0,false,3.0,3.0,true,4.0,3.0,false,3.0,5.0,true,2.0,4.0,true,2.0,3.0,true,2.0,3.0,false,1.0,3.0,false,3.0,3.0,false,3.0,4.0,true,4.0,3.0,false,3.0,5.0,true,2.0,4.0,true,1.0,1.0,true,2.0,1.0,false,5.0,3.0,false,4.0,5.0
true,3.0,4.0,false,2.0,1.0,true,1.0,2.0,true,2.0,3.0,false,2.0,2.0,true,3.0,4.0,true,3.0,4.0,true,4.0,5.0,false,2.0,4.0,true,2.0,2.0,false,1.0,1.0,true,2.0,3.0,false,3.0,4.0,true,2.0,3.0,true,1.0,5.0,false,1.0,1.0,false,3.0,2.0,true,2.0,4.0,true,1.0,1.0,true,5.0,5.0
true,3.0,5.0,true,3.0,4.0,true,2.0,1.0,true,2.0,2.0,true,5.0,2.0,true,3.0,2.0,false,4.0,2.0,true,2.0,2.0,true,4.0,3.0,true,3.0,3.0,true,4.0,3.0,true,4.0,3.0,true,4.0,2.0,true,5.0,2.0,true,4.0,1.0,true,4.0,3.0,true,3.0,3.0,true,4.0,3.0,true,5.0,3.0,true,3.0,2.0
true,3.0,2.0,true,5.0,5.0,false,5.0,3.5,false,2.5,2.5,true,3.5,4.0,true,2.25,2.0,false,4.75,1.0,false,4.0,1.0,true,3.0,2.0,false,1.75,1.0,true,4.35,3.0,true,2.75,2.0,true,2.0,2.0,true,2.5,1.0,false,4.25,2.0,true,3.5,3.5,true,3.0,2.5,false,4.75,2.0,false,4.85,1.5,false,4.0,3.5
true,2.0,2.0,false,5.0,1.0,true,3.0,3.0,true,3.0,2.0,false,5.0,2.0,true,4.0,1.0,false,5.0,1.0,true,4.0,1.0,true,3.0,3.0,false,1.0,1.0,true,3.0,3.0,true,4.0,3.0,false,2.0,3.0,true,3.0,3.0,true,3.0,3.0,true,2.0,3.0,true,3.0,3.0,true,4.0,3.0,false,5.0,2.0,true,3.0,2.0
true,3.5,4.0,true,4.5,2.5,true,3.0,1.0,true,3.0,3.5,true,3.5,1.5,true,3.0,4.25,false,3.25,1.0,true,4.0,1.0,true,3.1,3.0,false,2.25,1.75,true,4.0,3.333333,true,3.75,2.0,true,2.5,2.0,true,3.0,2.5,true,3.0,2.1,true,2.75,1.5,true,3.5,2.0,true,4.5,2.75,false,4.0,1.5,false,4.0,3.0
